Country_0,Country_1,Country_2,Country_3,Country_4,Country_5,Country_6,Headline Consumer Price Inflation,Energy Consumer Price Inflation,Food Consumer Price Inflation,Official Core Consumer Price Inflation,GDP deflator Index growth rate,Continent/Region_0,Continent/Region_1,Continent/Region_2,Continent/Region_3,GDP per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Score
0,0,0,0,1,0,0,5.5970149253731,7.153446325087583,6.581036857015099,5.309686,3.712317470667768,0,0,1,1,1.899,1.497,0.532,0.677,0.242,0.31,7.095
0,0,0,0,1,0,1,0.8965647220611572,1.190000057220459,0.8318597674369812,1.8456180095672607,2.300743726406886,0,1,0,0,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,7.2
0,0,0,0,1,0,1,0.8915959596633911,0.8299999833106995,0.7333297729492188,1.4667890071868896,1.847999999999999,0,1,0,0,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,7.119
0,0,0,0,1,0,1,2.23,1.7300000190734863,2.3659884929656982,1.9712530374526975,0.8610871102034359,0,1,0,0,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,7.006000042
0,0,0,0,1,0,1,2.0,2.2799999713897705,1.5193136930465698,1.812324047088623,1.7133122414212756,0,1,0,0,1.341,1.504,0.891,0.617,0.242,0.224,7.139
0,0,0,0,1,0,1,1.4900000095367432,0.8968247771263123,1.0189460515975952,1.6534810066223145,1.7265636215724764,0,1,0,0,1.376,1.475,1.016,0.532,0.244,0.226,7.246
0,0,0,0,1,0,1,1.3819106335189657,2.4005304074407,2.3324123720216643,1.899783,1.1271156940040767,0,1,0,0,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,7.294199944
0,0,0,0,1,0,1,2.766667,12.25,0.783,2.15,1.9434074603079827,0,1,0,0,1.492,1.062,0.782,0.64,0.215,0.292,7.268
0,0,0,0,1,0,1,8.54687,39.05748384994252,10.74824,5.479479703969492,4.737827979987899,0,1,0,0,1.931,1.165,0.774,0.623,0.193,0.329,7.163
0,0,0,0,1,0,1,7.81413417002832,6.195272942294444,10.97422956525482,7.740554993778881,7.615211695771382,0,1,0,0,1.927,1.382,0.535,0.63,0.191,0.31,7.097
0,0,0,0,1,1,0,4.032937526702881,-1.6230324506759644,6.070799827575684,3.98318161,-8.809638506349359,0,0,1,0,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,5.212
0,0,0,0,1,1,0,12.44055461883545,7.260000228881836,14.749199867248535,4.13967686,14.628580764622583,0,0,1,0,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914,5.291
0,0,0,0,1,1,0,12.844,19.5620853246483,16.520917892456055,-0.09196416,16.226167682593676,0,0,1,0,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,5.234000206
0,0,0,0,1,1,0,2.33,4.41208298058518,1.781522512435913,-0.09204881,12.184324337581852,0,0,1,0,1.024,1.161,0.603,0.43,0.031,0.176,5.201
0,0,0,0,1,1,0,2.711999893188477,-0.146273248155444,3.692143678665161,-1.84267232,-0.2295575369569399,0,0,1,0,1.043,1.147,0.769,0.351,0.035,0.182,5.208
0,0,0,0,1,1,1,13.476086616516112,-1.600000023841858,12.20709991455078,12.176554679870604,16.02248016906066,0,0,1,0,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,5.813
0,0,0,0,1,1,1,11.802736282348633,4.550000190734863,10.590800285339355,10.92360782623291,8.352141490133972,0,0,1,0,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457,5.802
0,0,0,0,1,1,1,6.032,8.51301416577384,7.0156965255737305,5.369061470031738,8.614620004141647,0,0,1,0,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,5.568999767
0,0,0,0,1,1,1,4.87,12.4535307045084,4.056930541992188,3.5838325023651123,12.151629002411251,0,0,1,0,1.039,1.498,0.7,0.307,0.101,0.154,5.483
0,0,0,0,1,1,1,5.599999904632568,10.1594901385948,6.362500134876227,4.629424095153809,8.576999999999998,0,0,1,0,1.067,1.465,0.789,0.235,0.094,0.142,5.323
0,0,0,0,1,1,1,5.548143574565075,7.98996878315829,4.271934121665116,4.619709014892578,10.10066588688212,0,0,1,0,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,5.539899826
0,0,0,0,1,1,1,9.46028389623105,10.24,9.62,9.342464199338933,13.050419827130098,0,0,1,0,1.124,1.007,0.56,0.326,0.07,0.199,5.534
0,0,0,0,1,1,1,15.2096752740809,12.6818894360824,16.655967762281616,16.462718712172418,13.448602989650398,0,0,1,0,1.562,1.157,0.629,0.342,0.04,0.282,5.821
0,0,0,1,0,0,0,0.5614306330680847,0.3998573124408722,1.2028567790985107,1.3693009614944458,1.3304690587412753,0,1,0,0,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,6.937
0,0,0,1,0,0,0,1.9738540649414065,2.1420040130615234,2.2407591342926025,1.959434986114502,1.9210000000000065,0,1,0,0,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,6.929
0,0,0,1,0,0,0,2.224,3.74162411689758,1.2603349685668943,1.515355944633484,1.827886304098272,0,1,0,0,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,6.890999794
0,0,0,1,0,0,0,2.05,3.044097423553467,2.159576177597046,1.3128880262374878,1.6254914052262366,0,1,0,0,1.324,1.483,0.894,0.583,0.188,0.24,6.927
0,0,0,1,0,0,0,1.2489999532699585,0.867344081401825,4.464560031890869,3.7687675952911377,1.6554313507978449,0,1,0,0,1.356,1.504,0.986,0.473,0.16,0.21,6.923
0,0,0,1,0,0,0,0.7407918122200935,-1.81643777216113,2.880574583977052,1.479317,0.8888515813723596,0,1,0,0,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,6.863500118
0,0,0,1,0,0,0,2.440248,12.33115,-0.394,1.613,2.926076118654462,0,1,0,0,1.463,0.998,0.747,0.489,0.088,0.187,6.834
0,0,0,1,0,0,0,9.597511,52.9877875794879,8.794951,4.564347430650306,6.264486736142056,0,1,0,0,1.907,1.106,0.764,0.492,0.049,0.204,6.805
0,0,0,1,0,0,0,4.04901077613941,-20.82351046823357,13.545644735358328,6.625928651070723,3.756237303211882,0,1,0,0,1.907,1.449,0.528,0.59,0.137,0.273,6.859
0,0,0,1,0,0,1,9.029804229736328,16.759281158447266,9.795379638671877,8.609610557556152,7.566175012071156,0,1,0,1,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,6.983
0,0,0,1,0,0,1,8.739128112792969,7.223777770996094,12.486474990844728,7.614994525909424,8.103604358702455,0,1,0,1,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,6.952
0,0,0,1,0,0,1,3.446,4.2340593338012695,0.8857386708259583,4.466681003570557,3.6373808828629137,0,1,0,1,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,6.635000229
0,0,0,1,0,0,1,3.66,5.826138019561768,0.8704661726951599,3.2843871116638184,3.2854398975086525,0,1,0,1,0.986,1.474,0.675,0.493,0.11,0.088,6.419
0,0,0,1,0,0,1,3.733000040054321,4.778264045715332,4.857350826263428,3.51549768447876,4.154274316029131,0,1,0,1,1.004,1.439,0.802,0.39,0.099,0.086,6.3
0,0,0,1,0,0,1,3.211768038033512,2.3382108211517334,9.070150375366213,2.2325150966644287,4.805369739673178,0,1,0,1,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,6.375599861
0,0,0,1,0,0,1,8.30166,9.575762883303428,12.717979571330275,5.095622960652706,11.09637043177852,0,1,0,1,1.028,0.944,0.571,0.514,0.142,0.117,6.33
0,0,0,1,0,0,1,9.280107,48.67186011053936,11.501340113001694,8.759518303949854,7.6495617376434195,0,1,0,1,1.462,1.044,0.615,0.546,0.131,0.134,6.293
0,0,0,1,0,0,1,4.59356282283204,-6.645737092728162,3.9875029875702017,6.545049662497392,4.688899670162666,0,1,0,1,1.454,1.25,0.387,0.558,0.131,0.137,6.125
0,0,0,1,0,1,0,-0.0978970229625701,3.4155972003936768,0.3251996636390686,1.615689462453006,2.442222586461236,0,0,1,0,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,4.218
0,0,0,1,0,1,0,-0.7952591180801392,0.0284441001713275,-0.2334402054548263,2.019999999999996,2.5379999999999967,0,0,1,0,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,4.217
0,0,0,1,0,1,0,1.188,3.175851583480835,3.987570524215698,1.587923936483047,3.9419532270962976,0,0,1,0,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531,4.714000225
0,0,0,1,0,1,0,2.81,4.5942864418029785,2.1968164443969727,1.601698186028557,4.012948020266467,0,0,1,0,1.054,1.515,0.712,0.359,0.064,0.009,4.933
